last_name,first_name,davenport_id,mlb_id,retrosheet_id,lahman_id,bbref_id,bats,throws
Freese,George,FREESE19260912A,114412,freeg101,freesge01,freesge01,R,R
Freese,Gene,FREESE19340108A,114411,freeg102,freesge02,freesge02,R,R
Freeman,Hersh,FREEMAN19280701A,114403,freeh101,freemhe01,freemhe01,R,R
Freeman,Harvey,FREEMAN18971222A,114402,freeh102,freemha01,freemha01,R,R
Freeman,Justin,FREEMAN19861022A,543178,freej001,freemju02,freemju02,R,R
Freeman,John,FREEMAN19010124A,114405,freej101,freemjo01,freemjo01,R,R
Freeze,Jake,FREEZE19000425A,114413,freej102,freezja01,freezja01,R,R
Freeman,Julie,FREEMAN18681107A,114407,freej103,freemju01,freemju01,R,R
Freeman,Jimmy,FREEMAN19510629A,114404,freej104,freemji01,freemji01,L,L
Freeman,Jerry,FREEMAN18791226A,114401,freej105,freemje01,freemje01,L,R
Freeman,La Vel,FREEMAN19630218A,114408,freel001,freemla01,freemla01,L,L
Freeman,Marvin,FREEMAN19630000A,114410,freem001,freemma02,freemma02,R,R
Freeman,Mark,FREEMAN19301207A,114409,freem101,freemma01,freemma01,R,R
Freel,Ryan,FREEL19760308A,150472,freer001,freelry01,freelry01,R,R
Freed,Roger,FREED19460602A,114398,freer101,freedro01,freedro01,R,R
Freeman,Sam,FREEMAN19870624A,518693,frees001,freemsa01,freemsa01,R,L
Fregosi,Jim,FREGOSI19420404A,114414,fregj101,fregoji01,fregoji01,R,R
Freire,Alejandro,FREIRE19740823A,439421,freia001,freiral01,freiral01,R,R
Freisleben,Dave,FREISLEBE19511031A,114417,freid101,freisda01,freisda01,R,R
Freigau,Howard,FREIGAU19020801A,114416,freih101,freigho01,freigho01,R,R
Freiman,Nate,FREIMAN19861231A,474384,frein001,freimna01,freimna01,R,R
Freitas,Tony,FREITAS19080505A,114418,freit101,freitto01,freitto01,R,L
Freiburger,Vern,FREIBURGE19231219A,114415,freiv101,freibve01,freibve01,R,L
French,Bill,FRENCH00000000B,114425,frenb101,frencbi01,frencbi01,,
French,Charlie,FRENCH18831012A,114419,frenc101,frencch01,frencch01,L,R
French,Jim,FRENCH19410813A,114423,frenj101,frencji01,frencji01,L,R
French,Luke,FRENCH19850913A,448287,frenl001,frenclu01,frenclu01,L,L
French,Larry,FRENCH19071101A,114421,frenl101,frencla01,frencla01,R,L
French,Pat,FRENCH18930922A,114420,frenp101,frencpa01,frencpa01,R,R
French,Ray,FRENCH18950109A,114422,frenr101,frencra01,frencra01,R,R
French,Walter,FRENCH18990712A,114424,frenw101,frencwa01,frencwa01,L,R
Frey,Benny,FREY19060406A,114426,freyb101,freybe01,freybe01,R,R
Frey,Lonny,FREY19100823A,114427,freyl101,freylo01,freylo01,L,R
Frey,Steve,FREY19630729A,114428,freys001,freyst01,freyst01,R,L
Frias,Carlos,FRIAS19891113A,516910,friac001,friasca01,friasca01,R,R
Frias,Hanley,FRIAS19731205A,114429,friah001,friasha01,friasha01,B,R
Frias,Pepe,FRIAS19480714A,114430,friap101,friaspe01,friaspe01,R,R
Friberg,Bernie,FRIBERG18990818A,114431,fribb101,fribebe01,fribebe01,R,R
Fricano,Marion,FRICANO19230715A,114432,fricm101,fricama01,fricama01,R,R
Fridley,Jim,FRIDLEY19240906A,114434,fridj101,fridlji01,fridlji01,R,R
Friday,Skipper,FRIDAY18971026A,114433,frids101,fridask01,fridask01,R,R
Frierson,Buck,FRIERSON19170729A,114443,frieb101,frierbu01,frierbu01,R,R
Friend,Bob,FRIEND19301124A,114442,frieb102,frienbo01,frienbo01,R,R
Friel,Bill,FRIEL18760401A,114438,frieb103,frielbi01,frielbi01,L,R
Friedrichs,Bob,FRIEDRICH19060830A,114436,frieb104,friedbo01,friedbo01,R,R
Friedrich,Christian,FRIEDRICH19870708A,543184,friec001,friedch01,friedch01,R,L
Fried,Cy,FRIED18970723A,114435,friec101,friedcy01,friedcy01,L,L
Friend,Danny,FRIEND18730418A,114439,fried101,frienda01,frienda01,L,L
Frieri,Ernesto,FRIERI19850719A,457117,friee001,frierer01,frierer01,R,R
Freund,Lawrence,FRIEND18750705A,114440,frief101,frienfr01,frienfr01,,R
Friend,Owen,FRIEND19270321A,114441,frieo101,frienow01,frienow01,R,R
Fries,Pete,FRIES18571030A,114444,friep101,friespe01,friespe01,L,L
Friel,Pat,FRIEL18600611A,114437,friep102,frielpa01,frielpa01,B,
Frill,John,FRILL18790403A,114445,frilj101,frilljo01,frilljo01,R,L
Frink,Fred,FRINK19110825A,114446,frinf101,frinkfr01,frinkfr01,R,R
Frisbee,Charlie,FRISBEE18740202A,114447,frisc101,frisbch01,frisbch01,B,R
Frisella,Danny,FRISELLA19460304A,114449,frisd101,friseda01,friseda01,L,R
Frisk,Emil,FRISK18741015A,114450,frise101,friskem01,friskem01,L,R
Frisch,Frankie,FRISCH18980909A,114448,frisf101,friscfr01,friscfr01,B,R
Fritz,Charlie,FRITZ18820613A,114451,fritc101,fritzch01,fritzch01,,L
Fritz,Harry,FRITZ18900930A,114452,frith101,fritzha01,fritzha01,R,R
Fritz,Larry,FRITZ19490214A,114453,fritl101,fritzla01,fritzla01,L,L
Froats,Bill,FROATS19301020A,114454,froab101,froatbi01,froatbi01,L,L
Frobel,Doug,FROBEL19590606A,114455,frobd001,frobedo01,frobedo01,L,R
Frock,Sam,FROCK18821223A,114456,frocs101,frocksa01,frocksa01,R,R
Froelich,Ben,FROELICH18871112A,114457,froeb101,froelbe01,froelbe01,R,R
Frohwirth,Todd,FROHWIRTH19630000A,114458,froht001,frohwto01,frohwto01,R,R
Fromme,Art,FROMME18830903A,114459,froma101,frommar01,frommar01,R,R
Frost,Dave,FROST19521117A,114460,frosd101,frostda01,frostda01,R,R
Fruto,Emiliano,FRUTO19840606A,464254,frute001,frutoem01,frutoem01,R,R
Fry,Johnson,FRY19011121A,114462,fry-j101,fryjo01,fryjo01,R,R
Fry,Jerry,FRY19560229A,114461,fry-j102,fryje01,fryje01,R,R
Frye,Charlie,FRYE19140717A,114463,fryec101,fryech01,fryech01,R,R
Fryer,Eric,FRYER19850826A,518700,fryee001,fryerer01,fryerer01,R,R
Frye,Jeff,FRYE19660831A,114464,fryej001,fryeje01,fryeje01,R,R
Fryman,Travis,FRYMAN19690325A,114465,frymt001,frymatr01,frymatr01,R,R
Fryman,Woodie,FRYMAN19400415A,114466,frymw101,frymawo01,frymawo01,R,L
Fuchs,Charlie,FUCHS19121118A,114467,fuchc101,fuchsch01,fuchsch01,B,R
Fuentes,Brian,FUENTES19750809A,150118,fuenb001,fuentbr01,fuentbr01,L,L
Fuentes,Mike,FUENTES19580711A,114468,fuenm001,fuentmi02,fuentmi02,R,R
Fuentes,Miguel,FUENTES19460510A,114469,fuenm101,fuentmi01,fuentmi01,R,R
Fuentes,Reymond,FUENTES19910212A,571681,fuenr001,fuentre01,fuentre01,L,L
